"workerid","contextWithSuper","strength","trial_num","target","degree","leftResponse","adjective","super_category","form","names","context","rightResponse","contextWithSuperPronoun","response","condition","sub_category"
1," is searching for things to watch online with their friend and finds a video of a cute animal.",1,3,"short","time","No","short","things you watch online","negative","Alicia"," finds a video of a cute animal to watch online with their friend.","Yes",NA,0,"context","video of the cute animal"
1," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.",2,4,"cheap","price","No","cheap","kitchen appliances","negative","Greg"," finds a toaster and looks at the price.","Yes",NA,1,"context","toaster"
1," is sitting at a cafe watching people go by and sees a professional gymnast.",1,5," tall","height","No","tall","people","positive","Alexander"," sees a professional gymnast.","Yes",NA,0,"context","gymnast"
1," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.",2,6,"cold","temperature","No","cold","days of the year","negative","Simon"," lives in Maryland and steps outside in Fall.","Yes",NA,0,"context","day in Fall"
1," is sitting at a cafe watching people go by and sees a professional basketball player.",3,7," tall","height","No","tall","people","positive","Tom"," sees a professional basketball player.","Yes",NA,1,"context","basketball player"
1," is searching for things to watch online with their friend and finds a music video.",2,8,"long","time","No","long","things you watch online","positive","Daniel"," finds a music video to watch online with their friend.","Yes",NA,0,"context","music video"
1," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.",3,9,"expensive","price","No","expensive","kitchen appliances","positive","David"," finds a dishwasher and looks at the price.","Yes",NA,1,"context","dishwasher"
1," is searching for things to watch online with their friend and finds a movie.",3,10,"short","time","No","short","things you watch online","negative","John"," finds a movie to watch online with their friend.","Yes",NA,0,"context","movie"
1," is in the produce section of the supermarket and picks up a grape.",1,11,"light","weight","No","light","produce","negative","Julia"," picks up a grape.","Yes",NA,1,"context","grape"
1," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.",1,12,"expensive","price","No","expensive","kitchen appliances","positive","Lucas"," finds a bottle opener and looks at the price.","Yes",NA,0,"context","bottle opener"
1," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.",1,13,"cold","temperature","No","cold","days of the year","negative","Sophie"," lives in Maryland and steps outside in Winter.","Yes",NA,1,"context","day in Winter"
1," is in the produce section of the supermarket and picks up an apple.",2,14,"light","weight","No","light","produce","negative","Gabriel"," picks up an apple.","Yes",NA,0,"context","apple"
1," is sitting at a cafe watching people go by and sees a professional soccer player.",2,15," tall","height","No","tall","people","positive","Mika"," sees a professional soccer player.","Yes",NA,0,"context","soccer player"
2," is sitting at a cafe watching people go by and sees a professional soccer player.",2,1," short","height","Yes","short","people","negative","Sophie"," sees a professional soccer player.","No",NA,0,"context","soccer player"
2," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.",1,2,"cheap","price","Yes","cheap","kitchen appliances","negative","Jennifer"," finds a bottle opener and looks at the price.","No",NA,1,"context","bottle opener"
2," is searching for things to watch online with their friend and finds a music video.",2,3,"short","time","Yes","short","things you watch online","negative","Maya"," finds a music video to watch online with their friend.","No",NA,1,"context","music video"
2," is sitting at a cafe watching people go by and sees a professional basketball player.",3,4," short","height","Yes","short","people","negative","Gabriel"," sees a professional basketball player.","No",NA,0,"context","basketball player"
2," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.",3,5,"cold","temperature","Yes","cold","days of the year","negative","Stephanie"," lives in Maryland and steps outside in Summer.","No",NA,0,"context","day in Summer"
2," is in the produce section of the supermarket and picks up an apple.",2,6,"heavy","weight","Yes","heavy","produce","positive","Simon"," picks up an apple.","No",NA,0,"context","apple"
2," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.",2,7,"expensive","price","Yes","expensive","kitchen appliances","positive","David"," finds a toaster and looks at the price.","No",NA,0,"context","toaster"
2," is in the produce section of the supermarket and picks up a grape.",1,8,"heavy","weight","Yes","heavy","produce","positive","Natalia"," picks up a grape.","No",NA,0,"context","grape"
2," is sitting at a cafe watching people go by and sees a professional gymnast.",1,9," short","height","Yes","short","people","negative","Stephen"," sees a professional gymnast.","No",NA,1,"context","gymnast"
2," is searching for things to watch online with their friend and finds a movie.",3,10,"long","time","Yes","long","things you watch online","positive","Cameron"," finds a movie to watch online with their friend.","No",NA,1,"context","movie"
2," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.",1,11,"cold","temperature","Yes","cold","days of the year","negative","Anthony"," lives in Maryland and steps outside in Winter.","No",NA,1,"context","day in Winter"
2," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.",3,12,"cheap","price","Yes","cheap","kitchen appliances","negative","Tanya"," finds a dishwasher and looks at the price.","No",NA,0,"context","dishwasher"
2," is searching for things to watch online with their friend and finds a video of a cute animal.",1,13,"long","time","Yes","long","things you watch online","positive","Julia"," finds a video of a cute animal to watch online with their friend.","No",NA,0,"context","video of the cute animal"
2," is in the produce section of the supermarket and picks up a watermelon.",3,14,"heavy","weight","Yes","heavy","produce","positive","Kim"," picks up a watermelon.","No",NA,1,"context","watermelon"
2," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.",2,15,"warm","temperature","Yes","warm","days of the year","positive","Veronica"," lives in Maryland and steps outside in Fall.","No",NA,0,"context","day in Fall"
3," is searching for things to watch online with their friend and finds a music video.",2,1,"long","time","Yes","long","things you watch online","positive","John"," finds a music video to watch online with their friend.","No",NA,0,"context","music video"
3," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.",1,2,"expensive","price","Yes","expensive","kitchen appliances","positive","Laura"," finds a bottle opener and looks at the price.","No",NA,0,"context","bottle opener"
3," is sitting at a cafe watching people go by and sees a professional soccer player.",2,3," short","height","Yes","short","people","negative","Lee"," sees a professional soccer player.","No",NA,0,"context","soccer player"
3," is in the produce section of the supermarket and picks up a grape.",1,4,"light","weight","Yes","light","produce","negative","Charles"," picks up a grape.","No",NA,1,"context","grape"
3," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.",1,5,"warm","temperature","Yes","warm","days of the year","positive","Greg"," lives in Maryland and steps outside in Winter.","No",NA,0,"context","day in Winter"
3," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.",2,6,"expensive","price","Yes","expensive","kitchen appliances","positive","Melinda"," finds a toaster and looks at the price.","No",NA,0,"context","toaster"
3," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.",3,7,"warm","temperature","Yes","warm","days of the year","positive","Kathleen"," lives in Maryland and steps outside in Summer.","No",NA,1,"context","day in Summer"
3," is searching for things to watch online with their friend and finds a movie.",3,8,"short","time","Yes","short","things you watch online","negative","Alicia"," finds a movie to watch online with their friend.","No",NA,0,"context","movie"
3," is in the produce section of the supermarket and picks up a watermelon.",3,9,"light","weight","Yes","light","produce","negative","Jasmine"," picks up a watermelon.","No",NA,0,"context","watermelon"
3," is searching for things to watch online with their friend and finds a video of a cute animal.",1,10,"short","time","Yes","short","things you watch online","negative","Lucas"," finds a video of a cute animal to watch online with their friend.","No",NA,1,"context","video of the cute animal"
3," is sitting at a cafe watching people go by and sees a professional gymnast.",1,11," short","height","Yes","short","people","negative","Michael"," sees a professional gymnast.","No",NA,1,"context","gymnast"
3," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.",3,12,"expensive","price","Yes","expensive","kitchen appliances","positive","Josh"," finds a dishwasher and looks at the price.","No",NA,1,"context","dishwasher"
3," is in the produce section of the supermarket and picks up an apple.",2,13,"heavy","weight","Yes","heavy","produce","positive","Veronica"," picks up an apple.","No",NA,0,"context","apple"
3," is sitting at a cafe watching people go by and sees a professional basketball player.",3,14," short","height","Yes","short","people","negative","Maya"," sees a professional basketball player.","No",NA,0,"context","basketball player"
3," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.",2,15,"cold","temperature","Yes","cold","days of the year","negative","Anthony"," lives in Maryland and steps outside in Fall.","No",NA,0,"context","day in Fall"
4," is searching for things to watch online with their friend and finds a movie.",3,1,"long","time","Yes","long","things you watch online","positive","Kathleen"," finds a movie to watch online with their friend.","No",NA,0,"context","movie"
4," is sitting at a cafe watching people go by and sees a professional gymnast.",1,2," tall","height","Yes","tall","people","positive","John"," sees a professional gymnast.","No",NA,0,"context","gymnast"
4," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.",3,3,"cold","temperature","Yes","cold","days of the year","negative","Monica"," lives in Maryland and steps outside in Summer.","No",NA,0,"context","day in Summer"
4," is in the produce section of the supermarket and picks up an apple.",2,4,"light","weight","Yes","light","produce","negative","Sophie"," picks up an apple.","No",NA,0,"context","apple"
4," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.",3,5,"expensive","price","Yes","expensive","kitchen appliances","positive","Alexander"," finds a dishwasher and looks at the price.","No",NA,1,"context","dishwasher"
4," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.",2,6,"warm","temperature","Yes","warm","days of the year","positive","Josh"," lives in Maryland and steps outside in Fall.","No",NA,0,"context","day in Fall"
4," is searching for things to watch online with their friend and finds a video of a cute animal.",1,7,"short","time","Yes","short","things you watch online","negative","Laura"," finds a video of a cute animal to watch online with their friend.","No",NA,0,"context","video of the cute animal"
4," is in the produce section of the supermarket and picks up a watermelon.",3,8,"light","weight","Yes","light","produce","negative","William"," picks up a watermelon.","No",NA,0,"context","watermelon"
4," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.",1,9,"expensive","price","Yes","expensive","kitchen appliances","positive","Angela"," finds a bottle opener and looks at the price.","No",NA,0,"context","bottle opener"
4," is searching for things to watch online with their friend and finds a music video.",2,10,"long","time","Yes","long","things you watch online","positive","Lucas"," finds a music video to watch online with their friend.","No",NA,0,"context","music video"
4," is in the produce section of the supermarket and picks up a grape.",1,11,"heavy","weight","Yes","heavy","produce","positive","Simon"," picks up a grape.","No",NA,0,"context","grape"
4," is sitting at a cafe watching people go by and sees a professional basketball player.",3,12," tall","height","Yes","tall","people","positive","Charles"," sees a professional basketball player.","No",NA,1,"context","basketball player"
4," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.",2,13,"cheap","price","Yes","cheap","kitchen appliances","negative","Kim"," finds a toaster and looks at the price.","No",NA,1,"context","toaster"
4," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.",1,14,"warm","temperature","Yes","warm","days of the year","positive","Jasmine"," lives in Maryland and steps outside in Winter.","No",NA,0,"context","day in Winter"
4," is sitting at a cafe watching people go by and sees a professional soccer player.",2,15," tall","height","Yes","tall","people","positive","Veronica"," sees a professional soccer player.","No",NA,0,"context","soccer player"
5," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.",3,1,"expensive","price","No","expensive","kitchen appliances","positive","Jennifer"," finds a dishwasher and looks at the price.","Yes",NA,1,"context","dishwasher"
5," is sitting at a cafe watching people go by and sees a professional gymnast.",1,2," tall","height","No","tall","people","positive","Stephanie"," sees a professional gymnast.","Yes",NA,0,"context","gymnast"
5," is searching for things to watch online with their friend and finds a video of a cute animal.",1,3,"long","time","No","long","things you watch online","positive","Cameron"," finds a video of a cute animal to watch online with their friend.","Yes",NA,0,"context","video of the cute animal"
5," is in the produce section of the supermarket and picks up a watermelon.",3,4,"light","weight","No","light","produce","negative","David"," picks up a watermelon.","Yes",NA,0,"context","watermelon"
5," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.",1,5,"warm","temperature","No","warm","days of the year","positive","Mika"," lives in Maryland and steps outside in Winter.","Yes",NA,0,"context","day in Winter"
5," is sitting at a cafe watching people go by and sees a professional soccer player.",2,6," tall","height","No","tall","people","positive","Alicia"," sees a professional soccer player.","Yes",NA,1,"context","soccer player"
5," is searching for things to watch online with their friend and finds a music video.",2,7,"long","time","No","long","things you watch online","positive","Angela"," finds a music video to watch online with their friend.","Yes",NA,0,"context","music video"
5," is in the produce section of the supermarket and picks up an apple.",2,8,"light","weight","No","light","produce","negative","Robert"," picks up an apple.","Yes",NA,1,"context","apple"
5," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.",2,9,"cold","temperature","No","cold","days of the year","negative","Maya"," lives in Maryland and steps outside in Fall.","Yes",NA,1,"context","day in Fall"
5," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.",2,10,"cheap","price","No","cheap","kitchen appliances","negative","Alexander"," finds a toaster and looks at the price.","Yes",NA,1,"context","toaster"
5," is in the produce section of the supermarket and picks up a grape.",1,11,"heavy","weight","No","heavy","produce","positive","Eric"," picks up a grape.","Yes",NA,0,"context","grape"
5," is sitting at a cafe watching people go by and sees a professional basketball player.",3,12," tall","height","No","tall","people","positive","John"," sees a professional basketball player.","Yes",NA,1,"context","basketball player"
5," is searching for things to watch online with their friend and finds a movie.",3,13,"long","time","No","long","things you watch online","positive","Gabriel"," finds a movie to watch online with their friend.","Yes",NA,1,"context","movie"
5," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.",1,14,"cheap","price","No","cheap","kitchen appliances","negative","William"," finds a bottle opener and looks at the price.","Yes",NA,1,"context","bottle opener"
5," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.",3,15,"cold","temperature","No","cold","days of the year","negative","Sophie"," lives in Maryland and steps outside in Summer.","Yes",NA,0,"context","day in Summer"
6," is sitting at a cafe watching people go by and sees a professional gymnast.",1,1," tall","height","No","tall","people","positive","Kim"," sees a professional gymnast.","Yes",NA,0,"context","gymnast"
6," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.",3,2,"expensive","price","No","expensive","kitchen appliances","positive","Jennifer"," finds a dishwasher and looks at the price.","Yes",NA,0,"context","dishwasher"
6," is in the produce section of the supermarket and picks up an apple.",2,3,"light","weight","No","light","produce","negative","David"," picks up an apple.","Yes",NA,0,"context","apple"
6," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.",2,4,"cheap","price","No","cheap","kitchen appliances","negative","Tom"," finds a toaster and looks at the price.","Yes",NA,1,"context","toaster"
6," is in the produce section of the supermarket and picks up a watermelon.",3,5,"light","weight","No","light","produce","negative","Julia"," picks up a watermelon.","Yes",NA,1,"context","watermelon"
6," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.",1,6,"cheap","price","No","cheap","kitchen appliances","negative","Eric"," finds a bottle opener and looks at the price.","Yes",NA,1,"context","bottle opener"
6," is searching for things to watch online with their friend and finds a movie.",3,7,"long","time","No","long","things you watch online","positive","Lucas"," finds a movie to watch online with their friend.","Yes",NA,1,"context","movie"
6," is in the produce section of the supermarket and picks up a grape.",1,8,"heavy","weight","No","heavy","produce","positive","Simon"," picks up a grape.","Yes",NA,0,"context","grape"
6," is sitting at a cafe watching people go by and sees a professional soccer player.",2,9," short","height","No","short","people","negative","Lee"," sees a professional soccer player.","Yes",NA,0,"context","soccer player"
6," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.",1,10,"warm","temperature","No","warm","days of the year","positive","Stephanie"," lives in Maryland and steps outside in Winter.","Yes",NA,1,"context","day in Winter"
6," is searching for things to watch online with their friend and finds a music video.",2,11,"short","time","No","short","things you watch online","negative","Stephen"," finds a music video to watch online with their friend.","Yes",NA,1,"context","music video"
6," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.",2,12,"cold","temperature","No","cold","days of the year","negative","Jasmine"," lives in Maryland and steps outside in Fall.","Yes",NA,1,"context","day in Fall"
6," is sitting at a cafe watching people go by and sees a professional basketball player.",3,13," short","height","No","short","people","negative","Michelle"," sees a professional basketball player.","Yes",NA,0,"context","basketball player"
6," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.",3,14,"cold","temperature","No","cold","days of the year","negative","Greg"," lives in Maryland and steps outside in Summer.","Yes",NA,0,"context","day in Summer"
6," is searching for things to watch online with their friend and finds a video of a cute animal.",1,15,"long","time","No","long","things you watch online","positive","Maya"," finds a video of a cute animal to watch online with their friend.","Yes",NA,0,"context","video of the cute animal"
7," is searching for things to watch online with their friend and finds a video of a cute animal.",1,1,"short","time","No","short","things you watch online","negative","Maya"," finds a video of a cute animal to watch online with their friend.","Yes",NA,1,"context","video of the cute animal"
7," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.",2,2,"warm","temperature","No","warm","days of the year","positive","Gabriel"," lives in Maryland and steps outside in Fall.","Yes",NA,0,"context","day in Fall"
7," is in the produce section of the supermarket and picks up an apple.",2,3,"light","weight","No","light","produce","negative","Josh"," picks up an apple.","Yes",NA,1,"context","apple"
7," is sitting at a cafe watching people go by and sees a professional basketball player.",3,4," tall","height","No","tall","people","positive","Cameron"," sees a professional basketball player.","Yes",NA,1,"context","basketball player"
7," is in the produce section of the supermarket and picks up a watermelon.",3,5,"heavy","weight","No","heavy","produce","positive","Laura"," picks up a watermelon.","Yes",NA,1,"context","watermelon"
7," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.",3,6,"warm","temperature","No","warm","days of the year","positive","Michelle"," lives in Maryland and steps outside in Summer.","Yes",NA,1,"context","day in Summer"
7," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.",2,7,"cheap","price","No","cheap","kitchen appliances","negative","Veronica"," finds a toaster and looks at the price.","Yes",NA,1,"context","toaster"
7," is sitting at a cafe watching people go by and sees a professional gymnast.",1,8," short","height","No","short","people","negative","William"," sees a professional gymnast.","Yes",NA,1,"context","gymnast"
7," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.",1,9,"cold","temperature","No","cold","days of the year","negative","Alicia"," lives in Maryland and steps outside in Winter.","Yes",NA,1,"context","day in Winter"
7," is searching for things to watch online with their friend and finds a movie.",3,10,"long","time","No","long","things you watch online","positive","Sophie"," finds a movie to watch online with their friend.","Yes",NA,1,"context","movie"
7," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.",1,11,"expensive","price","No","expensive","kitchen appliances","positive","Kim"," finds a bottle opener and looks at the price.","Yes",NA,0,"context","bottle opener"
7," is in the produce section of the supermarket and picks up a grape.",1,12,"light","weight","No","light","produce","negative","Lee"," picks up a grape.","Yes",NA,1,"context","grape"
7," is sitting at a cafe watching people go by and sees a professional soccer player.",2,13," tall","height","No","tall","people","positive","Alexander"," sees a professional soccer player.","Yes",NA,0,"context","soccer player"
7," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.",3,14,"expensive","price","No","expensive","kitchen appliances","positive","Angela"," finds a dishwasher and looks at the price.","Yes",NA,1,"context","dishwasher"
7," is searching for things to watch online with their friend and finds a music video.",2,15,"short","time","No","short","things you watch online","negative","Michael"," finds a music video to watch online with their friend.","Yes",NA,1,"context","music video"
8," is sitting at a cafe watching people go by and sees a professional gymnast.",1,1," short","height","No","short","people","negative","Julia"," sees a professional gymnast.","Yes",NA,0,"context","gymnast"
8," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.",2,2,"warm","temperature","No","warm","days of the year","positive","Simon"," lives in Maryland and steps outside in Fall.","Yes",NA,0,"context","day in Fall"
8," is sitting at a cafe watching people go by and sees a professional basketball player.",3,3," short","height","No","short","people","negative","Alexander"," sees a professional basketball player.","Yes",NA,0,"context","basketball player"
8," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.",3,4,"cold","temperature","No","cold","days of the year","negative","Daniel"," lives in Maryland and steps outside in Summer.","Yes",NA,0,"context","day in Summer"
8," is in the produce section of the supermarket and picks up an apple.",2,5,"heavy","weight","No","heavy","produce","positive","Natalia"," picks up an apple.","Yes",NA,1,"context","apple"
8," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.",1,6,"expensive","price","No","expensive","kitchen appliances","positive","Lucas"," finds a bottle opener and looks at the price.","Yes",NA,0,"context","bottle opener"
8," is sitting at a cafe watching people go by and sees a professional soccer player.",2,7," tall","height","No","tall","people","positive","Jennifer"," sees a professional soccer player.","Yes",NA,1,"context","soccer player"
8," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.",1,8,"cold","temperature","No","cold","days of the year","negative","Stephanie"," lives in Maryland and steps outside in Winter.","Yes",NA,1,"context","day in Winter"
8," is in the produce section of the supermarket and picks up a grape.",1,9,"heavy","weight","No","heavy","produce","positive","Maya"," picks up a grape.","Yes",NA,0,"context","grape"
8," is searching for things to watch online with their friend and finds a music video.",2,10,"short","time","No","short","things you watch online","negative","Sophie"," finds a music video to watch online with their friend.","Yes",NA,1,"context","music video"
8," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.",3,11,"cheap","price","No","cheap","kitchen appliances","negative","Michelle"," finds a dishwasher and looks at the price.","Yes",NA,1,"context","dishwasher"
8," is searching for things to watch online with their friend and finds a movie.",3,12,"short","time","No","short","things you watch online","negative","John"," finds a movie to watch online with their friend.","Yes",NA,0,"context","movie"
8," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.",2,13,"expensive","price","No","expensive","kitchen appliances","positive","Anthony"," finds a toaster and looks at the price.","Yes",NA,0,"context","toaster"
8," is searching for things to watch online with their friend and finds a video of a cute animal.",1,14,"short","time","No","short","things you watch online","negative","Lee"," finds a video of a cute animal to watch online with their friend.","Yes",NA,1,"context","video of the cute animal"
8," is in the produce section of the supermarket and picks up a watermelon.",3,15,"light","weight","No","light","produce","negative","Mika"," picks up a watermelon.","Yes",NA,0,"context","watermelon"
9," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.",3,1,"warm","temperature","No","warm","days of the year","positive","Maya"," lives in Maryland and steps outside in Summer.","Yes",NA,1,"context","day in Summer"
9," is sitting at a cafe watching people go by and sees a professional gymnast.",1,2," tall","height","No","tall","people","positive","Stephanie"," sees a professional gymnast.","Yes",NA,0,"context","gymnast"
9," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.",3,3,"cheap","price","No","cheap","kitchen appliances","negative","Veronica"," finds a dishwasher and looks at the price.","Yes",NA,1,"context","dishwasher"
9," is sitting at a cafe watching people go by and sees a professional soccer player.",2,4," short","height","No","short","people","negative","Charles"," sees a professional soccer player.","Yes",NA,0,"context","soccer player"
9," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.",2,5,"warm","temperature","No","warm","days of the year","positive","Alexander"," lives in Maryland and steps outside in Fall.","Yes",NA,1,"context","day in Fall"
9," is in the produce section of the supermarket and picks up a grape.",1,6,"light","weight","No","light","produce","negative","Julia"," picks up a grape.","Yes",NA,1,"context","grape"
9," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.",1,7,"cold","temperature","No","cold","days of the year","negative","Claire"," lives in Maryland and steps outside in Winter.","Yes",NA,1,"context","day in Winter"
9," is searching for things to watch online with their friend and finds a video of a cute animal.",1,8,"short","time","No","short","things you watch online","negative","Michelle"," finds a video of a cute animal to watch online with their friend.","Yes",NA,0,"context","video of the cute animal"
9," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.",2,9,"expensive","price","No","expensive","kitchen appliances","positive","William"," finds a toaster and looks at the price.","Yes",NA,1,"context","toaster"
9," is searching for things to watch online with their friend and finds a movie.",3,10,"long","time","No","long","things you watch online","positive","Greg"," finds a movie to watch online with their friend.","Yes",NA,0,"context","movie"
9," is in the produce section of the supermarket and picks up an apple.",2,11,"heavy","weight","No","heavy","produce","positive","Kim"," picks up an apple.","Yes",NA,0,"context","apple"
9," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.",1,12,"expensive","price","No","expensive","kitchen appliances","positive","Cameron"," finds a bottle opener and looks at the price.","Yes",NA,0,"context","bottle opener"
9," is in the produce section of the supermarket and picks up a watermelon.",3,13,"heavy","weight","No","heavy","produce","positive","Laura"," picks up a watermelon.","Yes",NA,1,"context","watermelon"
9," is sitting at a cafe watching people go by and sees a professional basketball player.",3,14," tall","height","No","tall","people","positive","Lee"," sees a professional basketball player.","Yes",NA,1,"context","basketball player"
9," is searching for things to watch online with their friend and finds a music video.",2,15,"long","time","No","long","things you watch online","positive","Natalia"," finds a music video to watch online with their friend.","Yes",NA,0,"context","music video"
10," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.",2,1,"expensive","price","Yes","expensive","kitchen appliances","positive","Eric"," finds a toaster and looks at the price.","No",NA,0,"context","toaster"
10," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.",1,2,"warm","temperature","Yes","warm","days of the year","positive","William"," lives in Maryland and steps outside in Winter.","No",NA,0,"context","day in Winter"
10," is in the produce section of the supermarket and picks up a watermelon.",3,3,"light","weight","Yes","light","produce","negative","Kathleen"," picks up a watermelon.","No",NA,0,"context","watermelon"
10," is sitting at a cafe watching people go by and sees a professional gymnast.",1,4," tall","height","Yes","tall","people","positive","Stephanie"," sees a professional gymnast.","No",NA,0,"context","gymnast"
